p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
ZCCHC2	7.36422790251101e-58	0.454348969550778	0.306	0.227	1.10868451072303e-53	Endo	ZCCHC2
RPS9	2.05935879758287e-57	0.417758464732915	0.306	0.227	3.10036466976101e-53	Endo	RPS9
CSNK1G3	2.66915036803202e-57	0.39494670353706	0.341	0.26	4.0184058790722e-53	Endo	CSNK1G3
ABI1	5.50371015645142e-56	0.377266759115758	0.374	0.295	8.28583564053762e-52	Endo	ABI1
ACTR2	6.19380410262351e-56	0.377609738451989	0.36	0.28	9.32477207649969e-52	Endo	ACTR2
SH3GLB1	1.09527059058043e-55	0.375307021508816	0.286	0.209	1.64892987411884e-51	Endo	SH3GLB1
LAPTM4A	1.41488022358442e-55	0.396601902776147	0.323	0.246	2.13010217660634e-51	Endo	LAPTM4A
ITM2B	1.95894546608633e-55	0.361534411965327	0.566	0.509	2.94919239919297e-51	Endo	ITM2B
VCP	5.57758294055339e-55	0.397547542315427	0.318	0.241	8.39705111700312e-51	Endo	VCP
SLC4A7	5.74083057240419e-55	0.428460767711717	0.306	0.23	8.64282042675451e-51	Endo	SLC4A7
MAOA	5.81289588556226e-55	0.368791265685237	0.31	0.224	8.75131475571398e-51	Endo	MAOA
CEP112	6.60203656710535e-55	0.353001389099905	0.628	0.572	9.9393660517771e-51	Endo	CEP112
RPL14	8.62558977285027e-55	0.388300314351767	0.279	0.2	1.29858254030261e-50	Endo	RPL14
NBDY	1.61024734190526e-54	0.435825196258004	0.35	0.276	2.42422737323837e-50	Endo	NBDY
TMEM184B	3.81702710392468e-54	0.376623789593854	0.363	0.282	5.74653430495861e-50	Endo	TMEM184B
B4GALT5	2.55306823412936e-53	0.359056652033448	0.349	0.268	3.84364422648175e-49	Endo	B4GALT5
MAP4K4	2.81499560375254e-53	0.333007536223421	0.577	0.523	4.23797588144945e-49	Endo	MAP4K4
RHOA	3.5155330487176e-52	0.383317940679262	0.462	0.389	5.29263500484435e-48	Endo	RHOA
GOLPH3	6.21655195698469e-52	0.3915719999642	0.417	0.345	9.35901897124045e-48	Endo	GOLPH3
HSD17B12	8.98962506033554e-52	0.428501360809058	0.435	0.366	1.35338805283352e-47	Endo	HSD17B12
ENAH	2.47214553484973e-51	0.299503590130703	0.28	0.202	3.72181510271626e-47	Endo	ENAH
CDYL	4.35857896575925e-51	0.36101072262237	0.354	0.277	6.56184063295054e-47	Endo	CDYL
SOX5	7.0070990821881e-51	0.287995426411573	0.704	0.608	1.05491876682342e-46	Endo	SOX5
PRRC2C	1.18349546307249e-50	0.330251239027524	0.604	0.567	1.78175241965563e-46	Endo	PRRC2C
RAP1GDS1	1.42111869570773e-50	0.359496745036941	0.36	0.28	2.13949419638798e-46	Endo	RAP1GDS1
KIF13B	2.64243101294251e-50	0.403567485929147	0.31	0.236	3.97817988998495e-46	Endo	KIF13B
IQSEC1	3.03717626386663e-50	0.391137061553975	0.397	0.325	4.57246886525121e-46	Endo	IQSEC1
RNF217	7.84355048110221e-50	0.378465356766831	0.361	0.283	1.18084652492994e-45	Endo	RNF217
PRKACB	2.64818551893851e-49	0.375194542893648	0.369	0.29	3.98684329876193e-45	Endo	PRKACB
PRMT2	7.44407402111021e-49	0.356129293116266	0.377	0.302	1.12070534387814e-44	Endo	PRMT2
FAXDC2	3.49011626967745e-48	0.432504437603506	0.291	0.219	5.2543700439994e-44	Endo	FAXDC2
EIF2AK2	4.262277800628e-48	0.396375315496289	0.35	0.28	6.41685922884545e-44	Endo	EIF2AK2
ARFGAP3	1.33592862124022e-47	0.319728806408092	0.334	0.257	2.01124053927715e-43	Endo	ARFGAP3
CRK	1.67381345263706e-47	0.364544022605869	0.305	0.234	2.51992615294509e-43	Endo	CRK
ZFAND3	2.45522350957475e-47	0.277154136498908	0.782	0.779	3.69633899366479e-43	Endo	ZFAND3
DTNBP1	5.69919794649882e-47	0.349996329506285	0.256	0.184	8.58014250845397e-43	Endo	DTNBP1
RPS8	6.78648197070481e-47	0.378790469493663	0.267	0.197	1.02170486068961e-42	Endo	RPS8
ABLIM3	5.43292091714163e-46	0.349364691871492	0.284	0.209	8.17926244075673e-42	Endo	ABLIM3
APOO	5.93182297635623e-45	0.374878210897913	0.336	0.266	8.93035949090431e-41	Endo	APOO
TRAK2	7.78431195955814e-45	0.33200155696744	0.27	0.2	1.17192816551148e-40	Endo	TRAK2
HNRNPF	2.53846833285352e-44	0.33495182962933	0.265	0.198	3.82166407511098e-40	Endo	HNRNPF
PITPNM2	4.81552374567591e-44	0.38437799961681	0.378	0.309	7.24977099911508e-40	Endo	PITPNM2
DLGAP4	1.03307118302474e-43	0.377091763957417	0.371	0.307	1.55528866604374e-39	Endo	DLGAP4
HNRNPK	1.25484513726412e-43	0.33312357442115	0.36	0.292	1.88916935415114e-39	Endo	HNRNPK
DNAJB6	1.266997284272e-43	0.424012792201717	0.43	0.376	1.9074644114715e-39	Endo	DNAJB6
ACAP2	1.31292141063086e-43	0.327823976362822	0.547	0.498	1.97660318370476e-39	Endo	ACAP2
ZNF160	2.08869044767117e-43	0.357840102413866	0.291	0.225	3.14452346896895e-39	Endo	ZNF160
STK4	1.26827780583371e-42	0.330158546793759	0.255	0.189	1.90939223668265e-38	Endo	STK4
CDC42	4.98470478791179e-42	0.333802860212032	0.342	0.277	7.5044730582012e-38	Endo	CDC42
TMBIM6	6.04321160599149e-42	0.379240353028124	0.396	0.333	9.09805507282019e-38	Endo	TMBIM6
OXR1	7.2681372731878e-42	0.272204967710068	0.474	0.4	1.09421806647842e-37	Endo	OXR1
UPF3A	1.06705617507932e-41	0.362607304508596	0.307	0.241	1.60645307158192e-37	Endo	UPF3A
KDM4C	9.5858135672749e-41	0.337275837441899	0.528	0.48	1.44314423255324e-36	Endo	KDM4C
ZFP36L1	1.17267391415309e-40	0.370269520030741	0.458	0.403	1.76546057775747e-36	Endo	ZFP36L1
RPL13A	2.21798850580544e-40	0.379699897055419	0.286	0.221	3.33918169549009e-36	Endo	RPL13A
YWHAG	2.6136590607109e-40	0.313601970263061	0.267	0.2	3.93486371590026e-36	Endo	YWHAG
NMT2	3.11806247891342e-40	0.390773386601406	0.254	0.193	4.69424306200415e-36	Endo	NMT2
USP3	3.55858816752829e-40	0.35805518625082	0.379	0.318	5.35745448621385e-36	Endo	USP3
DNAJC1	3.56355871400143e-40	0.334293910151677	0.576	0.529	5.36493764392915e-36	Endo	DNAJC1
CCND3	1.71069433485016e-39	0.281139146262483	0.445	0.37	2.57545032111691e-35	Endo	CCND3
VOPP1	3.83192960379566e-39	0.336325158299401	0.351	0.285	5.76897001851437e-35	Endo	VOPP1
ALG13	6.37284427038588e-39	0.371974389938564	0.365	0.305	9.59431704906594e-35	Endo	ALG13
TGFBR2	7.89656203136141e-39	0.298963012296169	0.595	0.541	1.18882741382146e-34	Endo	TGFBR2
COMMD10	6.09195618792896e-38	0.366666744779345	0.44	0.379	9.17144004092705e-34	Endo	COMMD10
FANCL	8.9771747955337e-38	0.346166996772498	0.268	0.208	1.3515136654676e-33	Endo	FANCL
SMAP1	9.64618934010639e-38	0.353524678515665	0.375	0.314	1.45223380515302e-33	Endo	SMAP1
NT5DC1	2.02734324174602e-37	0.302644442129727	0.302	0.235	3.05216525044864e-33	Endo	NT5DC1
SERBP1	2.48557119518541e-37	0.321311425121912	0.255	0.194	3.74202743435164e-33	Endo	SERBP1
G3BP1	2.94221165943833e-37	0.336982175764206	0.335	0.273	4.4294996532844e-33	Endo	G3BP1
RAI14	3.38918287002833e-37	0.322730786845691	0.295	0.23	5.10241481082764e-33	Endo	RAI14
ZNF407	4.0159622517069e-37	0.395893630380175	0.479	0.432	6.04603116994474e-33	Endo	ZNF407
NEK7	5.04220000984058e-37	0.382699678986335	0.463	0.416	7.591032114815e-33	Endo	NEK7
BCAP29	6.85957175846678e-37	0.314440930299042	0.324	0.261	1.03270852823717e-32	Endo	BCAP29
ARHGAP29	1.22626759516314e-36	0.268539587508124	0.785	0.763	1.8461458645181e-32	Endo	ARHGAP29
NPTN	1.75342489991888e-36	0.308231593713617	0.334	0.27	2.63978118682787e-32	Endo	NPTN
TBX3	3.81401235640844e-36	0.304794190247839	0.271	0.205	5.7419956025729e-32	Endo	TBX3
CHIC2	1.04133053677921e-35	0.292405302345109	0.366	0.298	1.5677231231211e-31	Endo	CHIC2
TPM4	1.08412385607472e-35	0.266901726717543	0.39	0.324	1.63214846532049e-31	Endo	TPM4
CST3	7.25968715654336e-35	0.389696835183346	0.339	0.276	1.0929459014176e-30	Endo	CST3
UBAC2	2.13571480945917e-34	0.322421867538002	0.359	0.299	3.21531864564078e-30	Endo	UBAC2
TMEM50B	8.23809572696973e-34	0.351551946657448	0.377	0.324	1.24024531169529e-29	Endo	TMEM50B
RPL37A	9.701436650184e-34	0.319156483355097	0.271	0.213	1.4605512876852e-29	Endo	RPL37A
RPRD1A	1.43753550412801e-33	0.338946363732415	0.353	0.296	2.16420970146472e-29	Endo	RPRD1A
PPIA	2.07546386901803e-33	0.293473019742411	0.255	0.196	3.12461085480664e-29	Endo	PPIA
DENND5A	5.99132208808359e-33	0.315675371269673	0.43	0.377	9.01993540360984e-29	Endo	DENND5A
NCOA3	6.99546604979529e-33	0.347984907714087	0.426	0.372	1.05316741379668e-28	Endo	NCOA3
MSRB3	8.66059427213604e-33	0.279015210883718	0.422	0.361	1.30385246767008e-28	Endo	MSRB3
NUMB	1.07958322709292e-32	0.317781808345734	0.53	0.497	1.62531254838839e-28	Endo	NUMB
NEDD4L	1.37389074905325e-32	0.251058048486698	0.353	0.282	2.06839252269966e-28	Endo	NEDD4L
SKIL	1.49331249125521e-32	0.313259272395635	0.279	0.223	2.24818195558472e-28	Endo	SKIL
PLEC	2.07488514495778e-32	0.283799253682959	0.257	0.2	3.12373958573393e-28	Endo	PLEC
ADAR	2.44942705338149e-32	0.28446626272755	0.337	0.279	3.68761242886584e-28	Endo	ADAR
ARGLU1	3.05296062752134e-32	0.258194684518022	0.65	0.634	4.59623222473338e-28	Endo	ARGLU1
DENND4C	4.33815171776442e-32	0.314493123938723	0.551	0.516	6.53108741109433e-28	Endo	DENND4C
DHX15	6.55792172925952e-32	0.309684205601638	0.331	0.276	9.8729511634002e-28	Endo	DHX15
KLHL20	1.33744446329938e-31	0.374436860563998	0.282	0.228	2.01352263949721e-27	Endo	KLHL20
CNOT2	1.34486894589815e-31	0.344534371601833	0.439	0.396	2.02470019804967e-27	Endo	CNOT2
FAR1	4.08425806830758e-31	0.307449889989502	0.425	0.376	6.14885052183707e-27	Endo	FAR1
NPC1	1.10673968770177e-30	0.313648805223283	0.261	0.206	1.66619659983502e-26	Endo	NPC1
GLS	1.15896057643864e-30	0.303422838383417	0.444	0.394	1.74481514782837e-26	Endo	GLS
BMP6	1.63683988613356e-30	0.596654229282183	0.33	0.275	2.46426244857408e-26	Endo	BMP6
SLC30A7	8.53395832291927e-30	0.314700513150125	0.277	0.224	1.2847874255155e-25	Endo	SLC30A7
SEC24B	8.98140290204252e-30	0.29163660706007	0.457	0.41	1.3521502069025e-25	Endo	SEC24B
GATAD2A	1.08101221449375e-29	0.297638847729652	0.348	0.293	1.62746388892033e-25	Endo	GATAD2A
STAT5B	3.06744359544241e-29	0.277794965763038	0.387	0.332	4.61803633293855e-25	Endo	STAT5B
MCC	6.94523338894216e-29	0.354809181262017	0.562	0.518	1.04560488670524e-24	Endo	MCC
AFF3	1.4864640092897e-28	1.27725337982281	0.49	0.528	2.23787156598564e-24	Endo	AFF3
PTAR1	2.09498611099297e-28	0.317392916761751	0.331	0.282	3.15400159009991e-24	Endo	PTAR1
PTBP1	2.50190092365299e-28	0.278693336747338	0.252	0.2	3.76661184055958e-24	Endo	PTBP1
SERINC5	3.10678655250962e-28	0.414840262277464	0.522	0.486	4.67726715480323e-24	Endo	SERINC5
DNAJC5	3.49198233550441e-28	0.296452945652338	0.273	0.221	5.25717940610189e-24	Endo	DNAJC5
SNAP23	4.99230937022172e-28	0.324687101522894	0.29	0.241	7.51592175686879e-24	Endo	SNAP23
RNF213	5.10715630641414e-28	0.328352910268135	0.424	0.38	7.68882381930649e-24	Endo	RNF213
EIF3H	9.32641884994663e-28	0.279666917666938	0.294	0.24	1.40409235785946e-23	Endo	EIF3H
MT-ND5	1.1026159399317e-27	0.353674185511287	0.45	0.403	1.65998829756717e-23	Endo	MT-ND5
ZSWIM6	1.69374243711283e-27	0.26094312347794	0.588	0.537	2.54992923907336e-23	Endo	ZSWIM6
SNX3	3.11156553498386e-27	0.26861054259671	0.296	0.243	4.6844619129182e-23	Endo	SNX3
WASF2	4.43228461516048e-27	0.265523925498088	0.534	0.503	6.6728044881241e-23	Endo	WASF2
RB1	4.86924076335483e-27	0.263221185489242	0.57	0.542	7.3306419692307e-23	Endo	RB1
LMTK2	7.0185254265785e-27	0.276619908578054	0.264	0.212	1.05663900297139e-22	Endo	LMTK2
NRG3	1.09115201571419e-26	0.492400573522633	0.265	0.217	1.64272935965771e-22	Endo	NRG3
BMP2K	1.89280625770755e-26	0.328908257256766	0.283	0.234	2.84961982097872e-22	Endo	BMP2K
ACSL4	3.0686652762575e-26	0.349281464273399	0.279	0.228	4.61987557340567e-22	Endo	ACSL4
CRYBG3	3.40354365866698e-26	0.268197108256313	0.368	0.315	5.12403497812314e-22	Endo	CRYBG3
CREM	5.32148957985599e-26	0.332526402782519	0.44	0.395	8.0115025624732e-22	Endo	CREM
TNFRSF1B	8.09742447850659e-26	0.266053516740418	0.278	0.225	1.21906725523917e-21	Endo	TNFRSF1B
KDM6A	1.29159401763611e-25	0.283040049032764	0.539	0.512	1.94449479355117e-21	Endo	KDM6A
TM9SF2	2.11212126877597e-25	0.282423087222327	0.288	0.239	3.17979857014223e-21	Endo	TM9SF2
R3HDM1	2.26839207114629e-25	0.281870649769379	0.428	0.38	3.41506426311074e-21	Endo	R3HDM1
RALY	3.2176597136134e-25	0.281199401394827	0.334	0.284	4.84418669884497e-21	Endo	RALY
EIF5	4.52962012952898e-25	0.26634262311668	0.252	0.203	6.81934310500589e-21	Endo	EIF5
HLF	5.97660963815201e-25	0.31837146244675	0.362	0.314	8.99778581023784e-21	Endo	HLF
RAP1A	1.66687431333182e-24	0.260703988580725	0.496	0.456	2.50947927872105e-20	Endo	RAP1A
TRIM22	1.73439195225078e-24	0.29192933790877	0.288	0.24	2.61112708411355e-20	Endo	TRIM22
IFNGR2	2.96338258102748e-24	0.256375867225966	0.256	0.207	4.46137247573687e-20	Endo	IFNGR2
HLCS	4.04662648074547e-24	0.330747226127626	0.299	0.25	6.09219616676231e-20	Endo	HLCS
AKAP12	7.38796059888696e-24	0.599634196883716	0.486	0.456	1.11225746816243e-19	Endo	AKAP12
ATP2C1	3.49494458300474e-23	0.289830967027042	0.36	0.315	5.26163906971364e-19	Endo	ATP2C1
VEZT	4.47624349686826e-23	0.25631115812365	0.453	0.414	6.73898458453516e-19	Endo	VEZT
NHLRC2	1.180815753047e-22	0.29901361833973	0.328	0.285	1.77771811621226e-18	Endo	NHLRC2
GRB2	3.53269115839655e-22	0.256124879726476	0.269	0.222	5.31846653896601e-18	Endo	GRB2
SERINC1	3.75178795820301e-22	0.260433625745219	0.347	0.303	5.64831677107463e-18	Endo	SERINC1
KPNA4	3.87234939243274e-22	0.271527020891816	0.318	0.273	5.82982201030749e-18	Endo	KPNA4
STRN	2.2548586783944e-21	0.256869688793699	0.317	0.273	3.39468974032276e-17	Endo	STRN
MAN1A1	5.21414631971766e-21	0.252511222632683	0.377	0.329	7.84989728433494e-17	Endo	MAN1A1
RICTOR	1.81733188636117e-20	0.265050863871843	0.475	0.448	2.73599315491674e-16	Endo	RICTOR
TMED10	2.30558828980865e-20	0.267514207755442	0.319	0.276	3.47106317030693e-16	Endo	TMED10
AVL9	2.91330785567912e-19	0.272560022233981	0.437	0.407	4.38598497672492e-15	Endo	AVL9
RASA1	4.68962549218735e-19	0.259893078537179	0.432	0.401	7.06023117848806e-15	Endo	RASA1
LRBA	8.2171044403979e-19	0.252096355945743	0.569	0.55	1.2370850735019e-14	Endo	LRBA
LRRFIP1	2.45928959521433e-18	0.278061878411526	0.415	0.381	3.70246048559518e-14	Endo	LRRFIP1
MYO9B	9.87172141798718e-18	0.250676582592189	0.323	0.284	1.48618765947797e-13	Endo	MYO9B
MYOF	5.15804013496535e-17	0.348795676513203	0.513	0.503	7.76542942319033e-13	Endo	MYOF
VPS36	6.22298757900764e-17	0.271101293136645	0.274	0.239	9.368707800196e-13	Endo	VPS36
SRSF7	1.16618511711506e-15	0.288228646329032	0.319	0.284	1.75569169381673e-11	Endo	SRSF7
PPP2R5C	1.26535721841795e-15	0.262321646663834	0.392	0.365	1.90499529232822e-11	Endo	PPP2R5C
EGLN1	2.07333348965178e-15	0.332323198070203	0.337	0.307	3.12140356867076e-11	Endo	EGLN1
PELI2	3.12342739098834e-15	0.407924761297433	0.39	0.365	4.70231993713295e-11	Endo	PELI2
EGFR	5.36863891869295e-15	0.259658939143589	0.568	0.546	8.08248589209224e-11	Endo	EGFR
LSS	6.15551747801306e-14	0.251806729497942	0.252	0.22	9.26713156314867e-10	Endo	LSS
DHRSX	4.25028789044774e-13	0.267234172466919	0.381	0.353	6.39880841906907e-09	Endo	DHRSX
DDX3X	1.73085844510224e-11	0.277170674210399	0.377	0.358	2.60580738910143e-07	Endo	DDX3X
HSPA5	7.61919820028281e-11	0.553933299954596	0.261	0.238	1.14707028905258e-06	Endo	HSPA5
SSH1	7.43773346348704e-10	0.287734921885251	0.339	0.323	1.11975077292797e-05	Endo	SSH1
WTAP	9.76444440439565e-09	0.251908844888049	0.331	0.313	0.000147003710508177	Endo	WTAP
HSP90B1	4.26820471328564e-06	0.33076979655939	0.294	0.279	0.0642578219585154	Endo	HSP90B1
RREB1	4.33030135967323e-06	0.256206228995632	0.334	0.327	0.0651926869698805	Endo	RREB1
NUAK1	0.000466799939967906	0.411159986253453	0.265	0.262	1	Endo	NUAK1
CEMIP	0	5.27259544169447	0.903	0.091	0	Fib	CEMIP
FLRT2	0	4.13852699344451	0.894	0.065	0	Fib	FLRT2
KAZN	0	3.97222138368102	0.869	0.296	0	Fib	KAZN
BICC1	0	3.90497320928881	0.927	0.071	0	Fib	BICC1
ABCA9	0	3.19640618769229	0.867	0.198	0	Fib	ABCA9
USP53	0	2.95432302683473	0.858	0.44	0	Fib	USP53
PKP2	0	2.73194792737581	0.568	0.011	0	Fib	PKP2
FBLN1	0	2.7151819139655	0.647	0.172	0	Fib	FBLN1
PRKAG2	0	2.69558948084623	0.768	0.244	0	Fib	PRKAG2
MPP6	0	2.67619713379264	0.584	0.029	0	Fib	MPP6
SLC6A20	0	2.66191796951689	0.597	0.016	0	Fib	SLC6A20
ABCA10	0	2.64124438221868	0.551	0.128	0	Fib	ABCA10
COL11A1	0	2.56244228266478	0.543	0.019	0	Fib	COL11A1
SLC16A12	0	2.53690204294533	0.563	0.075	0	Fib	SLC16A12
SLC7A2	0	2.53679631758958	0.413	0.035	0	Fib	SLC7A2
PRKCA	0	2.53110563375992	0.897	0.425	0	Fib	PRKCA
LRP1B	0	2.49380417545657	0.628	0.232	0	Fib	LRP1B
KCNQ3	0	2.47049200260425	0.375	0.07	0	Fib	KCNQ3
EYA2	0	2.46901846667674	0.43	0.019	0	Fib	EYA2
GPC6	0	2.46468214559485	0.447	0.132	0	Fib	GPC6
ABCA8	0	2.45853835134607	0.715	0.16	0	Fib	ABCA8
KCNK2	0	2.4439875955003	0.532	0.005	0	Fib	KCNK2
FBN1	0	2.39299436391879	0.678	0.074	0	Fib	FBN1
KCNIP1	0	2.38988623005298	0.379	0.023	0	Fib	KCNIP1
TRPM3	0	2.36819875297311	0.429	0.107	0	Fib	TRPM3
ABCA6	0	2.35057219469339	0.532	0.088	0	Fib	ABCA6
SLC13A3	0	2.34911557291522	0.375	0.036	0	Fib	SLC13A3
BNC2	0	2.34567461090161	0.656	0.162	0	Fib	BNC2
FGF13	0	2.32053042534548	0.367	0.026	0	Fib	FGF13
NTRK3	0	2.2989572904713	0.911	0.334	0	Fib	NTRK3
WDR86	0	2.29563393875608	0.628	0.009	0	Fib	WDR86
SLC7A11	0	2.29539694064644	0.776	0.316	0	Fib	SLC7A11
PLD1	0	2.28918697978385	0.668	0.058	0	Fib	PLD1
RNF220	0	2.28727743791688	0.609	0.313	0	Fib	RNF220
ITGA8	0	2.2650742732517	0.514	0.046	0	Fib	ITGA8
CYP1B1	0	2.25832481056151	0.468	0.046	0	Fib	CYP1B1
SLC24A3	0	2.23090281838352	0.429	0.032	0	Fib	SLC24A3
ROBO1	0	2.22599125302967	0.563	0.17	0	Fib	ROBO1
SGCD	0	2.20776722054587	0.561	0.043	0	Fib	SGCD
PRICKLE1	0	2.20547715361912	0.552	0.076	0	Fib	PRICKLE1
C7	0	2.16803403555637	0.537	0.051	0	Fib	C7
EYA1	0	2.15743002974653	0.514	0.1	0	Fib	EYA1
LAMA2	0	2.11060575903399	0.955	0.546	0	Fib	LAMA2
MDGA2	0	2.10925624061835	0.38	0.09	0	Fib	MDGA2
CPED1	0	2.0617404423671	0.614	0.081	0	Fib	CPED1
FAM20A	0	2.06171741006219	0.515	0.027	0	Fib	FAM20A
ADAMTS12	0	2.05359064789921	0.397	0.01	0	Fib	ADAMTS12
ALDH1L1	0	2.05099685869376	0.386	0.02	0	Fib	ALDH1L1
ADAMTSL3	0	2.03434299119819	0.4	0.104	0	Fib	ADAMTSL3
TGFBR3	0	2.01175049025886	0.819	0.308	0	Fib	TGFBR3
ACADL	0	2.00640937658414	0.509	0.012	0	Fib	ACADL
LPAR1	0	2.00179481698346	0.555	0.04	0	Fib	LPAR1
F3	0	1.9861366564958	0.494	0.057	0	Fib	F3
LAMB1	0	1.96136861982564	0.505	0.091	0	Fib	LAMB1
DLG2	0	1.95616306211448	0.929	0.524	0	Fib	DLG2
DAPK1	0	1.94243249886522	0.368	0.078	0	Fib	DAPK1
ARNT2	0	1.94009946563957	0.798	0.334	0	Fib	ARNT2
MAPK4	0	1.93143595289101	0.307	0.05	0	Fib	MAPK4
CLMP	0	1.9114832592301	0.428	0.011	0	Fib	CLMP
NEGR1	0	1.89305731258805	0.562	0.153	0	Fib	NEGR1
COL6A3	0	1.86682237465651	0.422	0.005	0	Fib	COL6A3
BMP5	0	1.86486473673424	0.4	0.002	0	Fib	BMP5
CACNA1A	0	1.85077915833864	0.356	0.08	0	Fib	CACNA1A
PLXDC2	0	1.83382130350612	0.733	0.226	0	Fib	PLXDC2
APOD	0	1.83201826525182	0.731	0.22	0	Fib	APOD
FHL2	0	1.82714629235112	0.413	0.063	0	Fib	FHL2
EPHA7	0	1.8235002663238	0.336	0.049	0	Fib	EPHA7
ADAM12	0	1.81900597157301	0.33	0.008	0	Fib	ADAM12
COL15A1	0	1.81582292772586	0.349	0.009	0	Fib	COL15A1
FMNL2	0	1.80984746581364	0.846	0.346	0	Fib	FMNL2
ALDH1A2	0	1.80244834359737	0.468	0.023	0	Fib	ALDH1A2
CELF2	0	1.79627330268237	0.888	0.527	0	Fib	CELF2
SNED1	0	1.77810105575082	0.698	0.398	0	Fib	SNED1
DIXDC1	0	1.77805820975591	0.529	0.113	0	Fib	DIXDC1
NAV2	0	1.76986005908948	0.762	0.478	0	Fib	NAV2
FMO2	0	1.72995909539172	0.443	0.048	0	Fib	FMO2
SEMA3C	0	1.71909117620984	0.388	0.021	0	Fib	SEMA3C
SRPX2	0	1.71018442828041	0.455	0.073	0	Fib	SRPX2
KIAA1217	0	1.70303274042181	0.515	0.153	0	Fib	KIAA1217
NHSL2	0	1.6956967268867	0.625	0.239	0	Fib	NHSL2
COL12A1	0	1.68929402254507	0.332	0.021	0	Fib	COL12A1
TPCN1	0	1.67085840120414	0.589	0.138	0	Fib	TPCN1
SPTLC3	0	1.66788520821526	0.337	0.04	0	Fib	SPTLC3
TENM4	0	1.66130529488339	0.393	0.049	0	Fib	TENM4
EDA	0	1.65515538310325	0.379	0.075	0	Fib	EDA
LRP1	0	1.65213770766431	0.705	0.204	0	Fib	LRP1
NR2F1	0	1.63855494074881	0.732	0.215	0	Fib	NR2F1
FOXP2	0	1.63319346649148	0.696	0.198	0	Fib	FOXP2
CSMD2	0	1.62236311702401	0.34	0.024	0	Fib	CSMD2
MAN1C1	0	1.61523393477226	0.588	0.135	0	Fib	MAN1C1
GK5	0	1.61107112996632	0.505	0.088	0	Fib	GK5
NALCN	0	1.60670116703417	0.439	0.045	0	Fib	NALCN
C1S	0	1.59149147028581	0.578	0.136	0	Fib	C1S
GNAL	0	1.57297694290554	0.384	0.112	0	Fib	GNAL
IGFBP5	0	1.57181020975526	0.262	0.067	0	Fib	IGFBP5
KIAA1755	0	1.56895795879979	0.477	0.076	0	Fib	KIAA1755
TMEM132C	0	1.56274513330251	0.778	0.301	0	Fib	TMEM132C
EHBP1	0	1.55588808436664	0.833	0.449	0	Fib	EHBP1
DOCK5	0	1.55573222544515	0.635	0.179	0	Fib	DOCK5
IL18	0	1.54907048807616	0.291	0.009	0	Fib	IL18
GREB1	0	1.54674137136073	0.355	0.02	0	Fib	GREB1
SH3D19	0	1.53851217717197	0.845	0.45	0	Fib	SH3D19
RANBP3L	0	1.53550378496183	0.452	0.138	0	Fib	RANBP3L
THBS2	0	1.52201005342328	0.323	0.008	0	Fib	THBS2
ENPP6	0	1.51493335429437	0.373	0.007	0	Fib	ENPP6
PTPN13	0	1.51271658073594	0.707	0.222	0	Fib	PTPN13
PLEKHA5	0	1.5102872699422	0.872	0.428	0	Fib	PLEKHA5
COL1A2	0	1.50757677952342	0.7	0.218	0	Fib	COL1A2
PDE1A	0	1.50233632738636	0.429	0.123	0	Fib	PDE1A
RETREG1	0	1.49102137829628	0.361	0.045	0	Fib	RETREG1
VIT	0	1.48096315871277	0.275	0.004	0	Fib	VIT
ANTXR2	0	1.47990964495746	0.516	0.121	0	Fib	ANTXR2
LTBP2	0	1.4783731538732	0.312	0.013	0	Fib	LTBP2
TNFRSF19	0	1.4573839164816	0.33	0.045	0	Fib	TNFRSF19
NAV3	0	1.45474698076859	0.5	0.152	0	Fib	NAV3
AGBL4	0	1.45355227743491	0.481	0.114	0	Fib	AGBL4
SPATA6	0	1.44847682385761	0.701	0.255	0	Fib	SPATA6
PDE7A	0	1.44150543712098	0.474	0.154	0	Fib	PDE7A
KCNT2	0	1.43617888139491	0.751	0.464	0	Fib	KCNT2
PIAS1	0	1.43551098891828	0.85	0.578	0	Fib	PIAS1
MCTP2	0	1.43360520778053	0.269	0.012	0	Fib	MCTP2
NOVA1	0	1.42534309693526	0.725	0.342	0	Fib	NOVA1
HECW1	0	1.41313102272418	0.395	0.046	0	Fib	HECW1
XYLT1	0	1.41257504244804	0.391	0.054	0	Fib	XYLT1
CDH11	0	1.39872474970405	0.807	0.396	0	Fib	CDH11
SNCAIP	0	1.39461097523079	0.254	0.033	0	Fib	SNCAIP
SVEP1	0	1.39003626936318	0.295	0.019	0	Fib	SVEP1
MID1	0	1.38861975077812	0.382	0.188	0	Fib	MID1
ALCAM	0	1.38388123794424	0.41	0.129	0	Fib	ALCAM
COL4A5	0	1.37974276291516	0.531	0.123	0	Fib	COL4A5
PRDM6	0	1.3717509738421	0.268	0.02	0	Fib	PRDM6
FLVCR2	0	1.3677690359596	0.491	0.158	0	Fib	FLVCR2
ROR2	0	1.36151925713841	0.377	0.028	0	Fib	ROR2
PAMR1	0	1.34851627664391	0.264	0.016	0	Fib	PAMR1
ACSS3	0	1.34305236092568	0.7	0.242	0	Fib	ACSS3
CEP126	0	1.33699743247167	0.508	0.107	0	Fib	CEP126
MLPH	0	1.32957807535642	0.339	0.008	0	Fib	MLPH
IQGAP2	0	1.32710686358194	0.266	0.012	0	Fib	IQGAP2
